(128960, 0, -28)
(128484, 0, -28)
(124940, -624, -624)
(119952, -28, -28)
(122704, -476, -952)
(121944, 12, 12)
(128680, 0, 0)
(128440, 0, 0)
(129124, -60, -60)
(129032, 0, -8)
(128896, -44, -72)
(120476, 108, -224)
(127012, -2172, -2076)
(127984, 112, -164)
(116428, 804, 160)
(128900, 0, 0)
(128900, 84, -48)
(129252, 204, 316)
(128852, 84, 84)
(127308, -364, -728)
(128760, 0, -8)
(129488, 12, -112)
(128076, 28, 16)
(128744, 8, 8)
(113740, 28, 28)
(128504, 0, -28)
(128832, 528, 216)
(125752, 56, 56)
(129208, 112, 0)
(128156, 0, -224)
(128768, 0, 84)
(129572, 48, -12)
(129500, 0, 0)
(128780, -412, -600)
(122980, 0, 168)
(128852, -444, -252)
(127880, 308, 308)
(129328, -160, -124)
(128828, 0, 0)
(129500, 252, 0)
(129116, 0, 0)
(113664, 0, 72)
(128712, 0, -312)
(129060, -328, -856)
(119856, 12, -128)
(128724, 0, -12)
(128976, 28, 28)
(128580, 0, -8)
(128928, -84, -264)
(127520, -392, -812)
(128532, -664, -384)
(129040, 32, 32)
(128844, -304, -40)
(126108, 0, 316)
(119416, 0, 16)
(120712, 36, -72)
(129104, -24, -24)
(128956, 0, 0)
(128548, 8, 8)
(129204, -48, -132)
(128336, 0, 384)
(91204, 804, 12)
(124020, 0, 0)
(128884, 0, 252)
(113528, 0, -44)
(119704, 0, -52)
(128888, 0, -24)
(127644, 0, -32)
(129324, 820, 820)
(124484, 28, 28)
(128136, 0, 0)
(124624, 0, -28)
(128732, 84, 0)
(129288, 228, -104)
(128632, 12, 12)
(129248, 112, -56)
(128380, 56, 0)
(128652, -252, -28)
(128380, 28, 104)
(128588, 328, 328)
(123500, 0, 0)
(128092, -16, -16)
(121276, 196, 112)
(127588, 0, 0)
(123608, 0, 24)
(128884, 448, 448)
(117104, 0, 0)
(124072, 12, 12)
(128636, 24, 24)
(128108, 56, -28)
(126088, 0, 0)
(125104, 32, 32)
(128988, 108, 96)
(129108, 28, 28)
(127792, 0, 0)
(128936, 0, -24)
(128708, -32, -32)
(129136, -132, 144)
(123612, 0, 412)
(128912, 0, -36)
(128788, -28, -28)
(125524, 460, -256)
(129016, 56, 56)
(129012, 0, 0)
(128712, 0, 0)
(129552, 384, 72)
(128780, 24, 24)
(128484, 28, 28)
(129208, 72, 72)
(127700, 0, 1828)
(127616, 0, -140)
(124492, 112, -196)
(125244, 140, 140)
(127740, -160, -160)
(89184, 0, 40)
(121840, 16, 44)
(129132, 56, -312)
(128192, 0, 0)
(128780, 140, 140)
(128708, 0, 0)
(127792, 0, 64)
(129112, 40, -148)
(128996, -360, -368)
(128940, -188, -116)
(124700, 0, 4412)
(123028, 0, 0)
(127340, -392, -784)
(123896, 308, 308)
(128360, 28, -28)
(128860, 84, 28)
(128920, 0, 0)
(128988, 112, 28)
(122856, 56, -560)
(129136, 168, 84)
(128436, 464, 464)
(129168, 40, -68)
(129212, 128, -12)
(129140, 44, 204)
(128676, 28, 28)
(119588, 368, 148)
(124024, 420, 420)
(128780, 132, 132)
(128832, 132, 132)
(128864, 12, -12)
(128036, 420, 420)
(128808, -136, -136)
(128824, 0, 48)
(128816, 264, 536)
(128788, 24, 24)
(128984, 28, -28)
(128684, 152, 152)
(123276, 0, 32)
(129172, 140, 248)
(118964, 0, -496)
(127712, 0, -12)
(128912, 8, 8)
(128672, 0, -120)
(127544, -308, -616)
(127208, 0, 1792)
(128364, 276, 204)
(113692, 0, 0)
(128144, -24, -24)
(128824, 0, -36)
(125336, 24, 20)
(124048, 0, 0)
(124576, 0, -1036)
(128784, 0, 0)
(117260, 796, 724)
(127892, 112, 44)
(127820, -1636, -2396)
(129604, 384, 328)
(128748, 32, 44)
(127952, 0, -28)
(128744, -68, 100)
(125104, -4004, -4536)
(128596, -84, -168)
(129024, 84, 84)
(128700, 0, 72)
(128712, 28, -32)
(116676, 0, 0)
(129264, 0, -84)
(128852, 0, 0)
(129096, 20, 20)
(122884, 24, 24)
(126560, 28, 28)
(123612, -412, -832)
(126472, 0, -28)
(127648, 0, 0)
(128856, -240, -300)
(128724, 0, 224)
(128816, -480, -564)
(113064, -168, -648)
(127972, 28, -8)
(129072, 140, -56)
(126276, -16, -16)
(129128, 84, -72)
(128612, -336, -336)
(129180, 0, 0)
(128836, 36, 32)
(126612, 56, 56)
(89092, 1040, 104)
(116268, 452, -176)
(129088, -120, 268)
(127404, 0, -72)
(128884, -252, -120)
(123652, 0, -8)
(128148, 0, -72)
(127544, 0, 0)
(129040, 336, 664)
(128752, 0, -84)
(126108, -316, -624)
(128720, -532, -736)
(128768, -292, -320)
(124048, 8, 8)
(129320, 48, 20)
(123580, -316, -624)
(124036, -412, -832)
(128088, 8, 32)
(122640, -8, 412)
(121824, 84, -28)
(123524, -316, -316)
(124052, 436, 436)
(129556, 324, 72)
(89240, 0, -244)
(128512, 0, 0)
(128204, 136, 88)
(128960, -224, -204)
(128948, -192, -236)
(129248, 432, 628)
(126364, -8, -8)
(129552, 496, 660)
(127512, 56, -56)
(129232, 252, 668)
(128436, 28, 28)
(128568, -24, -72)
(121932, 36, 28)
(128144, 0, 24)
(128444, -248, 688)
(127260, 56, 0)
(129536, 8, -140)
(124456, 140, -140)
(128888, 12, 12)
(128396, 20, 20)
(127924, 0, 0)
(129016, 32, 32)
