(0, 0) 0.664735 0.002350 0.001022
(0, 1) 0.683808 0.059255 0.027515
(0, 2) 0.876334 0.642715 0.299064
(0, 3) 0.961161 0.854841 0.414547
(0, 4) 0.967629 0.873543 0.423146
(0, 5) 0.979469 0.906932 0.434475
(0, 6) 0.983843 0.920075 0.438660
(0, 7) 0.986937 0.929465 0.446306
(0, 8) 0.992872 0.947022 0.461415
(0, 9) 0.993941 0.949255 0.463259
(0, 10) 0.994684 0.952054 0.463857
(0, 11) 0.994313 0.954119 0.464215
(0, 12) 0.994245 0.954481 0.466695
(0, 13) 0.995094 0.954429 0.469177
(0, 14) 0.995226 0.955680 0.469643
(0, 15) 0.995549 0.957436 0.468577
(0, 16) 0.996151 0.958399 0.467224
(0, 17) 0.996979 0.959402 0.466330
(0, 18) 0.997554 0.960224 0.464044
(0, 19) 0.996629 0.961645 0.460209
(0, 20) 0.984263 0.962467 0.463445
(0, 21) 0.969817 0.963828 0.471715
(0, 22) 0.970948 0.963887 0.472631
(0, 23) 0.971457 0.963740 0.473512
(0, 24) 0.972111 0.963674 0.473650
(0, 25) 0.972957 0.963657 0.473478
(0, 26) 0.974051 0.963633 0.473577
(0, 27) 0.975199 0.963568 0.473599
(0, 28) 0.976279 0.963617 0.473441
(0, 29) 0.977375 0.963637 0.473470
(0, 30) 0.978122 0.963586 0.473666
(0, 31) 0.979148 0.963457 0.473731
(0, 32) 0.979776 0.963424 0.473790
(0, 33) 0.980492 0.963335 0.473774
(0, 34) 0.981002 0.963340 0.473787
(0, 35) 0.981352 0.963321 0.473717
(0, 36) 0.982353 0.963472 0.473897
(0, 37) 0.982793 0.963490 0.473331
(0, 38) 0.982740 0.963621 0.472721
(0, 39) 0.983573 0.963741 0.472762
(1, 0) 0.672233 0.244180 0.105434
(1, 1) 0.853234 0.594583 0.275623
(1, 2) 0.878599 0.644854 0.300068
(1, 3) 0.925126 0.765638 0.363698
(1, 4) 0.968231 0.876553 0.423820
(1, 5) 0.977412 0.911186 0.446388
(1, 6) 0.985571 0.925856 0.445846
(1, 7) 0.990814 0.939701 0.454885
(1, 8) 0.990552 0.944512 0.462173
(1, 9) 0.993079 0.947657 0.464638
(1, 10) 0.993668 0.950589 0.465205
