Index    MemFree      SwapFree      AnonPages     Cached        Active         Inactive
0	20432		10236		29936	54032		48748		35436
1	20416		10236		29960	54036		48776		35440
2	20224		10236		30016	54060		48848		35460
3	18232		10236		31060	54988		49864		36368
4	14648		10236		32128	57344		51084		38608
5	11264		10236		33608	59044		52636		40224
6	8504		10236		34440	60844		53680		41836
7	5748		10236		36460	61540		55736		42484
8	2176		10236		38720	62660		60368		41240
9	1600		10236		39448	62436		61184		40924
10	2096		10236		39948	61356		61752		39764
11	2212		10236		40112	61216		61760		39752
12	2180		10236		41412	59756		64384		37016
13	2336		10236		43180	57848		66496		34756
14	1888		10236		44272	57180		67976		33692
15	1960		10236		45292	56084		69452		32152
16	2232		10236		45376	55656		69636		31604
17	2064		10236		45780	55408		70160		31248
18	2340		10236		46240	54512		71056		29920
19	2280		10236		46656	54272		71468		29684
20	2096		10236		47244	53804		71928		29336
21	2848		10236		46616	53672		71456		29064
22	3612		10236		46616	52920		70704		29064
23	3612		10236		46616	52920		70704		29064
24	3588		10236		46700	52920		70788		29052
25	2376		10236		47440	53412		71860		29200
26	2488		10236		47668	52964		71804		29060
27	2488		10236		47668	52964		71804		29060
28	1548		10236		48084	53504		72452		29296
29	2224		10236		47912	53060		72460		28724
30	2308		10236		47912	52988		72608		28524
31	2308		10236		47912	52988		72608		28524
32	2616		10236		48156	52448		72284		28500
33	2284		10236		48556	52348		73276		27856
34	2368		10236		48556	52260		73228		27820
35	1916		10236		49316	51984		74148		27336
36	1844		10236		51232	50280		76984		24740
37	1860		10236		52124	49376		77976		23712
38	1976		10236		53128	48260		79804		21816
39	1908		10236		53184	48264		79868		21796
40	1764		10236		53432	48120		80320		21444
41	2400		10236		54208	46728		81244		19920
42	1660		10236		55428	46256		83520		18412
43	2264		10236		55432	45556		83268		17964
44	2264		10236		55432	45556		83272		17964
45	3020		10236		55432	44896		82600		17956
46	2992		10236		55432	44952		82656		17956
47	3020		10236		55452	44936		82656		17956
48	2936		10236		55452	45012		82732		17960
49	2572		10236		55452	45364		82564		18460
50	2376		10236		55460	45568		83276		17968
51	2376		10236		55460	45568		83284		17992
52	2628		10236		55460	45300		83020		17956
53	2488		10236		55460	45452		83132		17988
54	2572		10236		55460	45380		83132		17956
