(129112, 164, 140)
(129220, 0, -224)
(127992, 0, 16)
(128808, 0, -56)
(129112, 0, -164)
(128216, 0, 0)
(127688, -276, -276)
(129284, 32, -100)
(128668, 132, 12)
(128496, 28, 188)
(129104, -108, -528)
(128332, 0, 532)
(128216, 0, 140)
(127032, 16, 16)
(128720, 28, 0)
(129208, 168, 0)
(129204, 56, -56)
(128636, 56, -28)
(128092, 0, 728)
(128680, 112, 532)
(127936, 0, 0)
(129092, -64, -280)
(126904, 0, 0)
(127372, 0, 0)
(128016, 0, 0)
(129292, -24, -36)
(128932, 308, 56)
(128856, 0, 0)
(128304, 0, 448)
(128244, -308, -308)
(128304, -504, -504)
(128660, 0, 0)
(128564, 232, 232)
(127044, -644, -644)
(127688, 0, 276)
(128552, 112, -120)
(127760, 216, 12)
(129056, 8, 92)
(128664, 0, 356)
(128884, 280, 768)
(129432, -128, -160)
(115240, -12752, -12752)
(128692, 244, 1024)
(128488, 0, -280)
(129112, -340, -544)
(128128, 196, -784)
(129500, -16, -212)
(129256, 336, 148)
(127936, 0, -476)
(129140, 28, 28)
(129248, 112, 100)
(128976, -88, -40)
(128412, 0, 0)
(129116, -216, -224)
(129528, 84, 28)
(128296, 0, 532)
(128552, 0, 0)
(128660, 0, -84)
(128856, -256, 84)
(129180, 108, -168)
(129148, 112, 56)
(129112, -56, -36)
(127044, 0, 0)
(128608, 140, -16)
(129224, 8, -4)
(110932, 0, 0)
(128872, 0, 232)
(126412, -2232, -2448)
(129532, 404, 104)
(127016, -336, -336)
(129260, 56, 0)
(128832, 0, 0)
(128488, 280, 120)
(128048, -28, -28)
(128748, 168, 168)
(128856, 0, 256)
(128244, 0, 308)
(129452, 204, 92)
(129252, 132, -56)
(128832, 196, -120)
(128748, 0, 0)
(129104, 216, 132)
(128208, 160, 160)
(129072, 276, 44)
(128624, 252, 1312)
(129444, 56, 48)
(128640, 336, 840)
(127460, 0, 1092)
(128716, 0, 0)
(129268, -112, -196)
(128856, 0, 144)
(128692, 28, 28)
(129420, 60, -200)
(127988, 616, 616)
(128888, 0, 0)
(112164, 0, 0)
(127372, -756, -756)
(129308, 24, -8)
(128888, 84, 756)
(129132, 0, -328)
(128688, 28, 28)
(128752, -188, -32)
(127932, 980, 932)
(128924, -336, -336)
(128752, 0, -112)
(128384, -28, -28)
(127460, 0, 0)
(128748, 0, -168)
(129064, 532, 308)
(128944, 0, -56)
(128924, 0, 336)
(128688, 0, 0)
(128608, 0, -140)
(128664, -196, -196)
(127212, 180, 164)
(128580, 64, 268)
(128828, 0, 380)
(129192, 84, -336)
(128692, 0, -244)
(129356, 292, -240)
(127372, 0, 756)
(128748, 28, 28)
(128348, 104, 104)
(129360, 260, 192)
(129200, 68, 68)
(128752, 176, -40)
(128804, -672, -708)
(128864, 0, -336)
(126904, -308, -308)
(127016, 0, 336)
(129316, 12, -32)
(129392, -28, -88)
(128412, 8, -180)
(127936, 476, 476)
(127992, -16, -8)
(110976, 0, 1188)
(128856, -144, -12)
(129340, 48, 72)
(128776, 28, 28)
(128488, 180, 48)
(110976, -1188, -1188)
(129092, 0, 64)
(128864, 0, 0)
(115244, 4, 12756)
(128996, 140, 140)
(126952, 48, 48)
(128820, -364, -256)
(129100, 68, 156)
(128216, 0, 28)
(129040, 168, 168)
(128532, 224, 32)
(128660, 84, 56)
(128300, 0, 420)
(128308, 132, 132)
(129264, -228, -364)
(128940, 84, 84)
(128920, 188, -44)
(128636, 28, 28)
(128864, 336, 784)
(129296, 76, 76)
(129048, -84, -112)
(129216, 12, 76)
(128076, 0, 308)
(128968, 216, 40)
(129132, -56, 148)
(128580, 84, 28)
(128664, 0, 0)
(128300, 0, 0)
(128580, 0, 0)
(128720, 84, 84)
(128116, 0, 0)
(128720, 28, 28)
(128664, -356, -628)
(128356, -132, -312)
(128404, 188, 188)
(128812, -200, 52)
(129000, -132, -76)
(128988, 272, 272)
(129260, 0, -56)
(129188, -204, -176)
(129120, 188, -120)
(128244, 0, 420)
(128820, 0, 0)
(129292, 128, 356)
(128720, 0, 0)
(128356, 0, 0)
(129072, 64, -68)
(129560, 388, 512)
(129260, 36, 28)
(129064, -48, 8)
(127148, 104, 104)
(128320, 104, 104)
(128688, 0, -28)
(128384, 0, 0)
(128888, 0, 292)
(129492, 136, -156)
(110908, 0, 0)
(127044, 0, 644)
(128440, 232, 28)
(127460, -1092, -1204)
(128304, -448, -448)
(129252, 112, 84)
(128536, 120, 120)
(129544, -12, -60)
(128300, -420, -420)
(128284, 72, 1176)
(128356, 0, 132)
(129188, -140, -276)
(128820, 0, 364)
(128092, 0, 0)
(128720, 0, -84)
(128888, -292, -400)
(110932, 24, 24)
(129316, 60, -276)
(127352, 204, 100)
(128468, -160, -188)
(128332, -532, -532)
(129508, 60, -72)
(127964, 28, 28)
(128412, 0, -8)
(128048, 0, 0)
(128416, 0, 0)
(128332, 0, 0)
(129392, 84, 60)
(129212, 420, 308)
(128244, -104, -208)
(128944, 56, 56)
(128636, 0, -56)
(110936, 0, 40)
(129388, 8, 172)
(129184, -108, -236)
(128208, 204, -40)
(128216, -140, -140)
(128212, -1104, -920)
(129120, 0, 412)
(128552, 0, -56)
(128748, 0, -28)
(129108, 420, 420)
(129440, 0, -48)
(128496, 56, -140)
(129556, 48, -12)
(129204, -64, 48)
(126908, 336, 176)
(129172, -124, -200)
(128924, 112, 312)
(128948, 24, 24)
(128752, 0, 188)
(129324, 192, 260)
(128828, -380, -548)
(128296, -532, -532)
(126904, 0, 308)
(127352, 0, -204)
(128516, 28, 28)
(127688, 0, 0)
(127016, 0, 0)
(128092, -728, -728)
(128752, 112, -224)
(128872, -232, -124)
(127544, 204, -12)
(128664, 0, 196)
(127212, 0, -180)
(128448, -780, -660)
(129296, 168, 96)
(128048, 0, 28)
(129392, 272, 224)
(128360, 132, 572)
(129316, -184, -168)
(128500, 216, 144)
(128664, 28, 0)
(128008, -8, -8)
(128828, 0, 360)
(129516, 196, 292)
(128372, -1060, -932)
(129132, -68, -136)
(128312, 12, 12)
(128004, 244, 28)
(128416, 0, 640)
(129260, 0, 0)
(128016, 0, -28)
(129128, 72, -40)
(128600, 84, 56)
(128216, -28, -28)
(126572, 160, 2392)
(128636, 316, 212)
(128628, 28, -56)
(129164, -228, -500)
(127964, 0, 0)
(128608, 0, 0)
(128244, 0, 0)
(128228, -440, -572)
(129188, 56, -300)
(129112, 0, 0)
(129128, 300, 300)
(128732, 232, 16)
(128828, 0, 0)
(129124, 156, -60)
(128340, 36, 36)
(128860, 28, 28)
(129476, 36, 36)
(128468, 156, 144)
(129036, 56, 0)
(128832, 0, -196)
(128440, 196, 300)
(112164, 8, 3096)
(128548, 56, -96)
(110936, -40, -40)
(128128, 0, 0)
(129120, -412, -816)
(128860, 0, -28)
(110932, 0, -24)
(127992, 0, 0)
(129132, 356, 244)
(128416, -640, -648)
(128176, 0, 0)
(129008, 132, 372)
(129304, 44, 8)
(128296, -588, -868)
(129348, -212, -600)
(128176, 84, 84)
(128244, -420, -420)
(129120, 48, -16)
(128308, 192, 192)
(129320, -96, -172)
(128752, 0, 0)
(128716, 420, 420)
(128876, -240, -24)
(129416, 76, 28)
(128304, 0, 0)
(129168, -20, -76)
(129440, 48, -36)
(128644, 216, 84)
(129096, -344, -532)
(129228, -120, 92)
(129380, -164, -152)
(128776, 112, 84)
(128428, 132, 720)
(129132, 328, 300)
(110908, 0, 28)
(128980, 56, -56)
(128720, 0, -28)
(128576, 28, -28)
(128828, -360, -220)
(128924, 0, 0)
(128804, 28, 0)
(129136, 12, -144)
(128176, 0, -84)
(128808, 56, 56)
(128808, 0, 0)
(129380, 84, -84)
(129156, 216, 132)
(129020, 272, 272)
(110976, 0, 0)
(110908, -28, -28)
(129328, 136, 52)
(128568, -420, -692)
(127212, 0, 0)
(129560, 32, -52)
(128604, -488, -488)
(128716, 0, -420)
(129056, 112, 112)
(129132, 28, -188)
(128860, 0, 0)
(127124, 216, -120)
(128128, 0, -196)
(128528, -448, -360)
(129012, -252, -24)
(128076, -308, -308)
(112156, -3088, -3092)
(129032, -88, -88)
(129448, 132, 72)
(110936, 0, 0)
(128580, 0, -64)
(128940, -156, 188)
(127340, 216, 0)
(128792, 112, 0)
(128576, 216, 84)
(128076, 0, 0)
(128016, 28, -588)
(128796, 232, 0)
(128516, -204, -204)
(128492, 152, 116)
(128384, 0, 28)
(127352, 0, 0)
(127964, 0, -28)
(112164, 0, -8)
(129220, 224, 84)
(129332, 8, -184)
(129440, 188, 76)
(128552, 56, 28)
