(129052, -120, -108)
(129124, -4, 52)
(88224, 132, 132)
(129152, 300, 300)
(122580, 0, 0)
(125100, 0, 0)
(128316, 0, 0)
(92736, 4, -80)
(128664, 140, 140)
(125996, 0, -84)
(127404, 0, -8)
(88084, -132, -148)
(88084, 0, 132)
(128560, -148, -276)
(91284, 0, -28)
(88240, 0, 0)
(124484, 28, 28)
(88136, -108, -236)
(129192, 0, -420)
(128900, 0, 0)
(129000, 56, 56)
(126072, 1260, 28)
(125772, -140, -140)
(91308, 0, 0)
(88780, 64, 12)
(128952, 0, 56)
(124484, 0, 0)
(128920, 28, -40)
(93196, -44, -56)
(128696, 0, 128)
(128672, -56, -56)
(129596, 768, 720)
(128888, 28, 224)
(128784, 0, -168)
(128800, -172, 136)
(128984, 0, 0)
(128780, -240, 28)
(126248, 112, 28)
(127396, -84, -196)
(92956, -56, 104)
(128812, 12, 184)
(129592, 152, -152)
(128744, 0, 364)
(127272, -28, 12)
(129580, 784, 784)
(129128, -112, -72)
(88664, 224, 80)
(127840, 56, 56)
(128580, 280, 280)
(93112, 132, 132)
(90984, 0, 28)
(90972, 16, 16)
(128700, 84, -112)
(128996, 308, 308)
(128720, 0, 84)
(128716, -416, -628)
(128920, -76, -76)
(88144, 24, 24)
(129368, -164, -120)
(128856, 0, -224)
(88288, -276, -260)
(129424, 80, 16)
(128912, 28, 0)
(128712, 0, 0)
(128932, 56, 56)
(127272, 0, 0)
(128956, 0, 0)
(128896, 56, 56)
(126472, 0, -28)
(128972, -300, -688)
(128856, 0, 0)
(122720, -6440, -6880)
(126444, 0, 0)
(128840, -84, -84)
(125540, 296, 296)
(128592, 0, 132)
(88120, -16, 100)
(125772, 0, -56)
(129024, 240, 240)
(128884, 28, 28)
(128896, 0, -224)
(128892, -668, -1276)
(89744, -1172, -1172)
(127556, 28, 28)
(90916, 0, 132)
(129228, 92, 36)
(88368, -44, -340)
(88120, -16, 92)
(88096, 0, 64)
(129172, 260, 272)
(92576, 0, 0)
(129264, 112, 28)
(128272, 0, -28)
(122924, 84, -56)
(128716, -364, -728)
(129108, 476, 476)
(88364, 112, -24)
(128672, -240, -16)
(128812, -456, -512)
(127724, 168, 140)
(90956, 0, 0)
(129132, -168, -488)
(88336, 0, 420)
(128008, 140, 140)
(128756, 84, 140)
(129040, 0, -28)
(126184, 140, 8)
(128684, 132, 132)
(129136, 56, 0)
(93252, -68, -68)
(128804, 84, 84)
(128884, 12, 12)
(129128, -256, -440)
(128984, 28, 28)
(128428, -644, -548)
(128708, 128, -152)
(88108, 24, 24)
(126472, 0, 0)
