(128484, 0, -28)
(126864, 392, 392)
(129040, 52, 24)
(128816, 56, 28)
(126352, 0, 0)
(128588, 0, 0)
(119836, 56, 56)
(122088, 188, 20)
(113352, 140, 140)
(128900, 0, 0)
(115104, 0, -56)
(128984, 28, 0)
(129316, -288, -280)
(128680, 0, 0)
(110968, 0, -84)
(127760, 812, 700)
(100684, 56, -60)
(124472, 0, -1036)
(87500, 292, 588)
(128012, 28, 0)
(128732, -252, -300)
(129212, -52, -144)
(129248, 448, 448)
(121040, 0, -140)
(129096, 56, 4)
(128844, 0, 0)
(123492, 56, -60)
(102464, 0, -88)
(129480, 656, 656)
(112572, 0, 0)
(112532, 0, -28)
(95720, 1160, 948)
(111920, 180, 180)
(126904, 0, -252)
(113296, 0, 160)
(126640, 56, -84)
(124428, 84, 84)
(128772, 0, 60)
(128864, -96, 76)
(128848, -8, -72)
(128612, 16, -96)
(129372, -44, 136)
(129412, 252, 28)
(128560, 112, -140)
(128912, -88, -96)
(125304, 896, 756)
(112600, 28, 28)
(128848, 0, 52)
(128536, 0, 0)
(128792, 0, -28)
(113456, 272, 272)
(105116, 188, 188)
(128900, -8, -8)
(125660, 0, 0)
(106160, -56, -56)
(128496, 72, 72)
(112628, 0, 0)
(109752, 252, 196)
(111836, -16, -40)
(111268, 0, -56)
(129408, 112, -224)
(125672, 0, -196)
(128972, 0, -12)
(127208, 48, 48)
(103124, 68, 8)
(127984, 28, 0)
(111492, 224, 224)
(99520, 628, 472)
(128732, 56, 28)
(113920, 28, 8)
(129624, 80, -252)
(125688, 28, 28)
(87992, -28, -28)
(122408, 0, 12)
(128172, 392, 392)
(128988, 56, -68)
(87804, -16, -16)
(127788, 0, -84)
(124164, 56, 0)
(129612, 152, 212)
(128684, 336, 280)
(111352, 20, -8)
(104708, 84, 216)
(126304, -168, -8)
(119948, -56, -56)
(125844, 0, -140)
(123596, -44, -44)
(113192, 0, 0)
(105444, 132, 132)
(126296, 84, 20)
(129548, -76, -156)
(128772, -60, -60)
(128888, 84, -24)
(128896, -24, -24)
(124512, 0, 532)
(112628, 28, 28)
(128376, 196, 196)
(113924, -140, -280)
(128928, 84, 56)
(126864, 56, 56)
(128616, -168, -168)
(129528, 828, 716)
(128972, 8, 64)
(124404, 0, 0)
(126408, 0, -28)
(117396, 112, -384)
(128708, -124, -312)
(128172, 28, 28)
(125900, 56, 56)
(128948, -256, -772)
(128940, 168, 168)
(111664, 0, 0)
(126092, 420, 396)
(125892, -32, -32)
(126296, 0, -84)
(129016, 24, -4)
(126804, 0, -28)
(113828, 140, 52)
(126664, 0, 0)
(115464, 12, 36)
(124428, -112, -112)
(128616, 28, 28)
(129516, -60, -76)
(116124, 28, -28)
(128700, 184, 156)
(129132, 84, -72)
(116788, 256, 256)
(126360, 84, -56)
(127276, 0, 0)
(128732, 0, 252)
(87504, -272, -272)
(127032, -116, -72)
(128068, 280, 280)
(127000, 0, -204)
(128960, -324, -784)
(116032, 16, 72)
(127236, 28, 28)
(98296, 0, -28)
(128808, 108, 108)
(119780, 112, 112)
(129404, 636, 576)
(87820, 28, -56)
(116532, -28, -88)
(119780, 0, -112)
(128788, -148, -148)
(128948, -12, -12)
(96356, -40, -200)
(120340, 392, 952)
(128200, 0, -28)
(126236, -68, -68)
(128940, 0, -168)
(128848, -244, -536)
(113368, 0, 0)
(126408, 0, 0)
(123044, 0, 0)
(112392, 572, 544)
(113184, -152, -344)
(127068, 0, 0)
(128920, 28, 0)
(128976, -232, -312)
(128772, -16, -16)
(128856, 0, -112)
(103588, 148, 120)
(114124, 0, -8)
(128788, 0, 252)
(110116, 364, 364)
(111784, -52, -52)
(128784, 0, -28)
(126664, 28, 28)
(127380, 0, 0)
(129244, 108, -160)
(128480, 140, 56)
(129012, 0, -28)
(103176, 60, 60)
(127212, 52, 52)
(129156, -168, -92)
(129092, -156, -604)
(111212, -88, 60)
(128756, 96, 36)
(112408, 0, -16)
(128756, 24, 24)
(128236, 0, 140)
(113836, 8, 8)
(127780, 0, 0)
(129084, 96, 96)
(129480, 0, -656)
(129108, 140, 80)
(128688, -196, -168)
(129136, 56, 0)
(126720, 28, 28)
(128792, 28, -56)
(123436, 116, 88)
(123856, 84, 0)
(106232, -12, -12)
(128180, 0, 0)
(129072, -56, -336)
(129016, 84, 0)
(128396, 252, 252)
(116840, 1064, 1008)
(112684, 28, 28)
(129300, -72, -28)
(106216, 0, 16)
(116232, -420, -840)
(105232, 0, -124)
(129116, 8, 8)
(128916, 0, -28)
(110828, 12, 12)
(89548, 812, -76)
(113976, 28, 0)
(95832, 12, -36)
(129544, 332, 136)
(127188, 0, 0)
(112572, -16, -16)
(106520, 116, 116)
(125908, 0, 0)
(129172, 324, 324)
(119640, 0, 392)
(129548, -8, -716)
(127236, 0, 0)
(109652, 300, -12)
(118196, 1144, 560)
(128848, -8, -8)
(116532, 0, 0)
(126444, 0, 0)
(120508, 0, -560)
(126636, 0, 324)
(129572, 232, -116)
(111500, 164, 164)
(88096, 0, 0)
(128420, 0, 560)
(127100, 80, 80)
(115160, 0, -56)
