(118360, -24, 48)
(123024, -336, -364)
(123528, 280, 280)
(123480, 0, -280)
(123212, 12, 396)
(121156, 0, -20)
(123360, 28, -280)
(122120, -316, -636)
(123024, 0, 412)
(118280, 548, 116)
(115484, 112, 56)
(119756, 40, 40)
(115940, 304, 276)
(123068, 28, 28)
(123016, -344, -680)
(116672, 0, 448)
(121108, -8, -8)
(118292, -68, -68)
(123148, 0, 372)
(123504, 280, 280)
(122436, 320, 292)
(123036, 0, 24)
(122996, -308, -756)
(119468, 68, 56)
(123060, -428, -540)
(121512, 308, 308)
(123156, 0, 412)
(114464, 28, -88)
(123192, -16, -16)
(121628, -56, -112)
(121148, 28, 28)
(116740, 0, -52)
(123212, 0, 0)
(123168, 8, 8)
(115608, 40, 12)
(123172, 0, -12)
(116672, -448, -476)
(123596, 392, 392)
(123132, 0, 20)
(123164, 0, 0)
(123144, -28, -28)
(113092, 0, 0)
(123172, 0, 28)
(122996, 0, 308)
(123232, 0, 0)
(122060, 180, -260)
(123216, 0, 0)
(116956, 684, 684)
(116684, 0, -12)
(123032, -316, -316)
(116684, 12, 12)
(121056, -336, -344)
(123376, 308, 308)
(119716, 0, 0)
(114112, 588, 588)
(121048, -8, -8)
(123436, 428, 428)
(123488, 112, -196)
(117120, 28, -108)
(123152, 8, -20)
(123032, 0, 0)
(121204, 0, -12)
(119620, 0, -12)
(113356, 0, 0)
(123192, 0, -28)
(118596, 8, -76)
(121384, 0, 8)
(121384, 0, 0)
(122800, 672, 1084)
(123068, 0, 0)
(123024, 8, 8)
(118652, 56, 48)
(119612, 0, 0)
(123252, 0, 0)
(123144, 28, 28)
(119648, 36, 36)
(122396, 336, 336)
(123208, 0, 8)
(122088, -308, -644)
(121140, 0, 0)
(122996, -308, -616)
(123204, -288, -568)
(123060, 0, 428)
(121880, 440, 440)
(123480, 420, 420)
(121148, 0, -28)
(121116, 0, 32)
(121068, 224, -196)
(121204, 0, 0)
(119612, 0, 8)
(123232, 0, -28)
(123216, -8, 384)
(123040, 0, 308)
(123188, -316, -624)
(123152, 0, 0)
(123024, -308, -616)
(121136, -8, -8)
(113120, 0, -28)
(118936, 132, 120)
(121108, 0, 0)
(114320, 28, -152)
(121448, 140, 140)
(123060, 0, 316)
(121288, 196, 196)
(121440, 0, 8)
(123036, -24, -24)
(123016, 0, 0)
(123540, 280, 268)
(122060, 0, 0)
(123304, 448, 448)
(121140, -8, -8)
(123008, -16, -16)
(121068, 0, -8)
(123196, 8, 8)
(121316, 0, 2156)
(121392, 0, -28)
(123068, 0, -8)
(123232, 28, 28)
(113524, 168, 168)
(113356, 0, -28)
(123636, 420, 420)
(119620, 12, -128)
(123188, 0, 0)
(123044, 0, 0)
(123248, 0, 280)
(123116, 0, -16)
(121768, -1484, -1484)
(123024, 0, 308)
(119784, 0, -28)
(121068, 8, 8)
(116696, 0, 0)
(113288, 0, 0)
(121116, 0, 0)
(123016, 0, 344)
(117092, 136, -548)
(116272, 0, -24)
(123148, 0, 44)
(123196, 28, 28)
(121120, 0, 168)
(114436, 116, 116)
(122856, 0, -56)
(123208, -308, -616)
(123572, 428, 428)
(123204, 0, -72)
(121136, 0, 0)
(123208, -412, -832)
(113328, 0, -40)
(123192, 28, 28)
(121440, 0, 0)
(121204, 12, 4)
(123192, -288, -288)
(114320, 0, -28)
(122120, 0, 0)
(123224, 0, -12)
(123520, 372, 372)
(123620, 420, 420)
(121136, 0, 8)
(116248, -56, -420)
(123208, 12, 4)
(123024, 0, -8)
(116696, 0, -12)
(121308, 260, 260)
(123172, 12, 424)
