(1642160, 0, 0)
(1651564, -94180, -96112)
(1729600, 924, 672)
(1642256, -9308, 84872)
(1745744, 1932, 0)
(1732600, 480, -612)
(1748436, 8904, -2268)
(1732120, 1092, 840)
(1724896, 1220, 576)
(1642152, 0, 0)
(1734780, 588, 420)
(1716600, 11172, -168)
(1649320, 760, -1504)
(1734024, 504, -416)
(1642168, -96, -104)
(1731028, 252, -420)
(1646296, 168, 49048)
(1740284, 1892, 2144)
(1682748, 11088, 3784)
(1762264, 7864, 1900)
(1720848, 1344, 168)
(1733520, 920, 440)
(1717572, -53272, -57304)
(1642264, 8, 8)
(1648560, 2264, 2096)
(1722108, 1260, -84)
(1728676, 252, -2100)
(1740872, 168, -168)
(1642152, -8, -8)
(1695008, 0, 0)
(1734780, 0, -588)
(1736628, 1848, 1848)
(1734192, 168, -336)
(1718328, 756, 54028)
(1642256, 0, 0)
(1642152, 0, 8)
(1646128, -48880, -48880)
(1740704, 336, 252)
(1723676, 644, 392)
(1642160, 0, 8)
(1664356, 9492, 3948)
(1671660, 7304, -2188)
(1738644, 2016, 168)
(1694088, 11340, 252)
(1642168, 0, 96)
(1642168, 0, 0)
(1642160, -8, -8)
(1739532, 11172, -588)
(1741880, 1008, 840)
(1719504, 1176, 420)
(1730776, 672, 168)
(1743812, 1932, 924)
(1770844, 4032, -516)
(1730104, 504, -420)
(1738392, -252, -2268)
(1728360, 11760, 588)
(1728424, 2352, 1176)
(1722780, 672, -588)
(1766812, 4548, -3316)
(1642256, 0, 9308)
(1705428, 11340, 0)
(1723032, 252, -420)
(1754400, 5964, -2940)
(1654864, 5544, 4784)
(1726072, 1176, -44)
(1740368, 84, -1808)
